"Passer","PlayType","GameID","posteam","DefensiveTeam","Yards.Gained","FirstDown","TimeSecs","time","play_new","PT_L","TG_L","FD_L","same"
,"Run",2017090700,"KC","NE",7,1,3428,5,0,"Pass",0,0,0
"T.Brady","Pass",2017090700,"NE","KC",0,0,3420,6,1,"Run",7,1,0
,"Run",2017090700,"KC","NE",9,0,3265,8,0,"Pass",0,0,0
,"Run",2017090700,"NE","KC",3,0,2883,15,0,"Pass",0,0,0
"A.Smith","Pass",2017090700,"KC","NE",0,0,2691,19,1,"Pass",0,0,1
,"Run",2017090700,"NE","KC",4,0,2597,20,0,"Pass",0,0,0
,"Run",2017090700,"KC","NE",3,0,2242,26,0,"Run",2,0,1
,"Run",2017090700,"NE","KC",4,0,2024,28,0,"Run",1,0,1
,"Run",2017090700,"KC","NE",7,0,1949,29,0,"Run",4,0,1
"T.Brady","Pass",2017090700,"NE","KC",0,0,1613,38,1,"Pass",7,0,1
"A.Smith","Pass",2017090700,"KC","NE",75,0,1468,40,1,"Run",2,0,0
"T.Brady","Pass",2017090700,"NE","KC",0,0,1459,41,1,"Pass",75,0,1
,"Run",2017090700,"KC","NE",1,0,1328,43,0,"Pass",0,0,0
"T.Brady","Pass",2017090700,"NE","KC",22,1,1278,44,1,"Run",1,0,0
"A.Smith","Pass",2017090700,"KC","NE",8,0,1196,46,1,"Run",0,0,0
"T.Brady","Pass",2017090700,"NE","KC",54,1,1070,47,1,"Pass",8,0,1
,"Run",2017090700,"KC","NE",13,0,904,50,0,"Run",3,0,1
"T.Brady","Pass",2017090700,"NE","KC",26,1,847,52,1,"Pass",78,0,1
"A.Smith","Pass",2017090700,"KC","NE",0,0,741,54,1,"Pass",8,0,1
,"Run",2017090700,"NE","KC",2,0,628,55,0,"Pass",0,0,0
"A.Smith","Pass",2017090700,"KC","NE",9,0,535,57,1,"Pass",0,0,1
"J.McCown","Pass",2017091000,"NYJ","BUF",3,0,3228,7,1,"Run",-6,0,0
"T.Taylor","Pass",2017091000,"BUF","NYJ",21,1,3117,8,1,"Pass",3,0,1
"J.McCown","Pass",2017091000,"NYJ","BUF",4,0,2961,10,1,"Run",3,0,0
,"Run",2017091000,"BUF","NYJ",-1,0,2817,11,0,"Pass",4,0,0
"J.McCown","Pass",2017091000,"NYJ","BUF",0,0,2486,16,1,"Run",2,0,0
"T.Taylor","Pass",2017091000,"BUF","NYJ",35,1,2194,19,1,"Pass",-1,0,1
"J.McCown","Pass",2017091000,"NYJ","BUF",0,0,2039,22,1,"Run",-1,0,0
"T.Taylor","Pass",2017091000,"BUF","NYJ",-5,0,1904,25,1,"Run",2,0,0
,"Run",2017091000,"NYJ","BUF",0,0,1794,27,0,"Pass",0,0,0
,"Run",2017091000,"BUF","NYJ",1,0,1620,29,0,"Run",1,0,1
,"Run",2017091000,"NYJ","BUF",0,0,1541,30,0,"Run",1,0,1
,"Run",2017091000,"BUF","NYJ",0,0,1445,31,0,"Run",0,0,1
,"Run",2017091000,"NYJ","BUF",8,0,1312,34,0,"Pass",1,0,0
"T.Taylor","Pass",2017091000,"BUF","NYJ",0,0,1020,39,1,"Pass",9,0,1
"J.McCown","Pass",2017091000,"NYJ","BUF",2,0,762,43,1,"Run",3,0,0
,"Run",2017091000,"BUF","NYJ",2,0,565,45,0,"Pass",4,0,0
"J.McCown","Pass",2017091000,"NYJ","BUF",0,0,451,46,1,"Run",2,0,0
,"Run",2017091000,"BUF","NYJ",5,0,393,47,0,"Pass",0,0,0
"J.McCown","Pass",2017091000,"NYJ","BUF",0,0,298,48,1,"Run",5,0,0
,"Run",2017091000,"BUF","NYJ",2,0,231,49,0,"Pass",0,0,0
"J.McCown","Pass",2017091000,"NYJ","BUF",0,1,104,51,1,"Run",3,0,0
"C.Wentz","Pass",2017091008,"PHI","WAS",0,0,3455,3,1,"Run",-1,0,0
"K.Cousins","Pass",2017091008,"WAS","PHI",0,0,3388,4,1,"Pass",0,0,1
"C.Wentz","Pass",2017091008,"PHI","WAS",1,1,3298,6,1,"Run",4,0,0
,"Run",2017091008,"WAS","PHI",4,0,3081,9,0,"Run",1,0,1
,"Run",2017091008,"PHI","WAS",4,0,2989,10,0,"Run",4,0,1
,"Run",2017091008,"WAS","PHI",6,0,2598,15,0,"Run",2,0,1
"C.Wentz","Pass",2017091008,"PHI","WAS",14,1,2366,17,1,"Run",-1,0,0
"K.Cousins","Pass",2017091008,"WAS","PHI",0,0,2036,21,1,"Run",2,0,0
"C.Wentz","Pass",2017091008,"PHI","WAS",0,0,1877,25,1,"Run",4,0,0
,"Run",2017091008,"WAS","PHI",4,0,1443,33,0,"Run",3,0,1
"C.Wentz","Pass",2017091008,"PHI","WAS",11,1,1020,39,1,"Pass",1,0,1
"K.Cousins","Pass",2017091008,"WAS","PHI",0,0,891,42,1,"Pass",0,0,1
,"Run",2017091008,"PHI","WAS",2,0,741,45,0,"Pass",4,0,0
"K.Cousins","Pass",2017091008,"WAS","PHI",0,0,403,48,1,"Run",3,0,0
